BA;293000;Sebastião Laranjeiras;30;7;10712
BA;293010;Senhor do Bonfim;28;5;72511
BA;293020;Sento Sé;16;10;36517
BA;293015;Serra do Ramalho;13;6;31130
BA;293030;Serra Dourada;12;4;17422
BA;293040;Serra Preta;19;12;15149
BA;293050;Serrinha;13;6;71383
BA;293060;Serrolândia;23;7;12120
BA;293070;Simões Filho;7;11;109269
BA;293075;Sítio do Mato;24;2;12567
BA;293076;Sítio do Quinto;13;6;14069
BA;293077;Sobradinho;24;2;14162
BA;293080;Souto Soares;5;7;18013
BA;293090;Tabocas do Brejo Velho;13;4;12281
BA;293100;Tanhaçu;22;9;19591
BA;293105;Tanque Novo;25;2;15745
BA;293110;Tanquinho;14;8;7589
BA;293120;Taperoá;29;5;18217
BA;293130;Tapiramutá;27;7;17254
BA;293135;Teixeira de Freitas;9;5;118702
BA;293140;Teodoro Sampaio;20;10;20325
BA;293150;Teofilândia;23;4;20702
BA;293160;Teolândia;19;7;12429
BA;293170;Terra Nova;20;10;12310
BA;293180;Tremedal;5;11;18483
BA;293190;Tucano;21;3;48740
BA;293200;Uauá;9;7;24662
BA;293210;Ubaíra;13;11;20708
BA;293220;Ubaitaba;27;7;20478
BA;293230;Ubatã;12;12;24791
BA;293240;Uibaí;22;9;13719
BA;293245;Umburanas;24;2;16081
BA;293250;Una;2;8;25277
BA;293260;Urandi;12;10;15822
BA;293270;Uruçuca;12;12;22070
BA;293280;Utinga;24;4;19229
BA;293290;Valença;29;9;84931
BA;293300;Valente;12;8;21512
BA;293305;Várzea da Roça;25;2;14479
BA;293310;Várzea do Poço;30;7;8569
BA;293315;Várzea Nova;25;2;13949
BA;293317;Varzedo;13;6;9054
BA;293320;Vera Cruz;31;7;22702
BA;293325;Vereda;24;2;7174
BA;293330;Vitória da Conquista;9;11;308204
BA;293340;Wagner;21;8;8610
BA;293345;Wanderley;25;2;12982
BA
